Guess id=59962 -> next_url id=Some(60162), batch min=Some(59964) max=Some(60162), records=100, unique_added=99
Guess id=59162 -> next_url id=Some(59362), batch min=Some(59164) max=Some(59362), records=100, unique_added=0
Guess id=60062 -> next_url id=Some(60260), batch min=Some(60063) max=Some(60260), records=100, unique_added=49
Guess id=60162 -> next_url id=Some(60362), batch min=Some(60164) max=Some(60362), records=100, unique_added=51
Guess id=59862 -> next_url id=Some(60065), batch min=Some(59866) max=Some(60065), records=100, unique_added=0
Guess id=60362 -> next_url id=Some(60565), batch min=Some(60364) max=Some(60565), records=100, unique_added=100
Guess id=60262 -> next_url id=Some(60462), batch min=Some(60264) max=Some(60462), records=100, unique_added=0
Guess id=60462 -> next_url id=Some(60665), batch min=Some(60464) max=Some(60665), records=100, unique_added=50
Guess id=60562 -> next_url id=Some(60762), batch min=Some(60565) max=Some(60762), records=100, unique_added=49
Guess id=61362 -> next_url id=Some(61560), batch min=Some(61363) max=Some(61560), records=100, unique_added=100
Guess id=60662 -> next_url id=Some(60860), batch min=Some(60663) max=Some(60860), records=100, unique_added=49
Guess id=61062 -> next_url id=Some(61263), batch min=Some(61064) max=Some(61263), records=100, unique_added=100
Guess id=60862 -> next_url id=Some(61062), batch min=Some(60864) max=Some(61062), records=100, unique_added=100
Guess id=60962 -> next_url id=Some(61163), batch min=Some(60964) max=Some(61163), records=100, unique_added=0
Guess id=60762 -> next_url id=Some(60962), batch min=Some(60764) max=Some(60962), records=100, unique_added=1
Guess id=61462 -> next_url id=Some(61674), batch min=Some(61464) max=Some(61674), records=100, unique_added=51
Guess id=61162 -> next_url id=Some(61361), batch min=Some(61163) max=Some(61361), records=100, unique_added=49
Guess id=61762 -> next_url id=Some(61883), batch min=Some(61763) max=Some(61883), records=100, unique_added=100
Guess id=61262 -> next_url id=Some(61460), batch min=Some(61263) max=Some(61460), records=100, unique_added=0
Guess id=61562 -> next_url id=Some(61748), batch min=Some(61564) max=Some(61748), records=100, unique_added=50
Guess id=61662 -> next_url id=Some(61804), batch min=Some(61664) max=Some(61804), records=100, unique_added=12
Guess id=61862 -> next_url id=Some(62737), batch min=Some(61863) max=Some(62737), records=100, unique_added=85
Found next_id 62737 is greater than 62112. Redundant guess ids to abort: [62662, 62362, 62062, 62162, 62462, 61962, 62262, 62562]
Guess id=62062 -> next_url id=Some(62816), batch min=Some(62705) max=Some(62816), records=100, unique_added=73
